# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon May 13 15:25:57 AEST 2019 [seed=1557725155661]
# -overwrite GSS_strict_random_het_rel1_sim_4.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
180000	-37927.71484902207	-622.8202223081055	-37304.89462671397	61.54669357380525	-56.54669357380525	1082.957451064665	443.0348977896827	0.08272048393867171	0.7770796059129351	0.0011711065253972792	0.0011711065253972792	-37304.89462671397	0.0	-617.1758285614267
185000	-37910.475648353175	-610.3036807327175	-37300.17196762046	52.55604322537936	-47.55604322537936	941.5503059083509	445.01336254316686	0.08272048393867171	0.8444652927583548	0.001403272179192116	0.0014032721791921172	-37300.17196762046	0.0	-604.2913476978417
190000	-37921.69968496564	-622.9151010807591	-37298.78458388488	58.44729054891356	-53.44729054891356	1077.2251973333866	415.7053068659605	0.0676780201262921	0.9372057253180002	0.0011728236880647232	0.0011728236880647253	-37298.78458388488	0.0	-617.2402705742905
195000	-37916.784305908564	-619.663094277031	-37297.12121163154	63.88212449729561	-58.88212449729561	1055.197594799926	388.79584255391205	0.07062401932305495	0.9076912821280924	0.0011949215884674489	0.0011949215884674486	-37297.12121163154	0.0	-614.2962947699447
200000	-37938.79334326943	-637.511122898272	-37301.28222037116	68.61893592738906	-63.61893592738906	1247.020664309952	458.86761033085105	0.061331793538490276	0.9466476517136517	0.0010074362180322765	0.0010074362180322758	-37301.28222037116	0.0	-631.5484203322717
205000	-37957.09693153076	-648.8550385196521	-37308.24189301111	79.2204816837066	-74.2204816837066	1394.7085939754713	613.3951471770886	0.06211469260727798	0.8107295834785949	8.972419543727598E-4	8.9724195437276E-4	-37308.24189301111	0.0	-641.7368998818699
210000	-37939.12798008479	-635.169162795049	-37303.95881728974	69.85633200146131	-64.85633200146131	1216.678144085415	396.8054141532913	0.06181224667157337	0.8337889096065609	0.0010418980927888776	0.0010418980927888778	-37303.95881728974	0.0	-630.0118241865786
215000	-37937.10755312791	-639.9606207747024	-37297.14693235321	68.6714145603124	-63.6714145603124	1249.4913627855465	584.4188602689437	0.06208197176132302	0.8914103584816548	0.0010377936415739142	0.0010377936415739135	-37297.14693235321	0.0	-632.7978552406838
220000	-37985.787110215126	-682.5021284179146	-37303.28498179721	106.40312640937827	-101.40312640937827	1924.5515688860085	784.669817098908	0.04253042838925847	0.8527607746423084	6.781867720160737E-4	6.781867720160735E-4	-37303.28498179721	0.0	-673.8539057749517
225000	-37982.27829820086	-676.688363091129	-37305.589935109725	100.26554959992383	-95.26554959992383	1823.085519024036	731.9458109124532	0.0434317558520394	0.7444185297041912	6.875959350045502E-4	6.875959350045496E-4	-37305.589935109725	0.0	-668.8008522863258
230000	-37967.60859443706	-672.347772127345	-37295.26082230971	93.67889439445534	-88.67889439445534	1739.4156645837375	583.7038629171595	0.04305990346702604	0.8943055764590657	7.398186241511313E-4	7.398186241511311E-4	-37295.26082230971	0.0	-665.5498802166679
235000	-37967.48959016683	-676.5073912445288	-37290.9821989223	106.01005870082966	-101.01005870082966	1832.6761750072171	679.7992241976181	0.04305990346702604	0.8241726678357535	6.711149629431184E-4	6.711149629431181E-4	-37290.9821989223	0.0	-669.020573567836
240000	-37958.535042718424	-675.8530860964067	-37282.681956622015	105.74734071808763	-100.74734071808763	1819.2434150103986	651.5292019790785	0.04305990346702604	0.856263898511601	7.063161545304858E-4	7.063161545304859E-4	-37282.681956622015	0.0	-668.5005220328595
245000	-37959.78671749503	-659.8686366793928	-37299.91808081564	90.53255347461005	-85.53255347461005	1552.9224339535092	625.6795863940455	0.047957718664544124	0.8671716015054747	7.735125770865388E-4	7.73512577086539E-4	-37299.91808081564	0.0	-652.707030983009
250000	-37930.929368630525	-638.7076623537235	-37292.2217062768	70.59462150541654	-65.59462150541654	1262.9896816377723	499.4645059102761	0.056920586622480895	0.8142613186840161	9.819199674392237E-4	9.819199674392233E-4	-37292.2217062768	0.0	-632.6435030071966
255000	-37953.40677471743	-644.4144067974812	-37308.99236791994	73.51734718887009	-68.51734718887009	1333.7378157895123	491.07567404601804	0.05167845934280346	0.835935455455389	9.97207259871224E-4	9.972072598712243E-4	-37308.99236791994	0.0	-638.3256988218736
260000	-37949.455310564976	-658.3485925766025	-37291.106717988376	86.99743802565091	-81.99743802565091	1519.4562026407557	661.8072995343384	0.05167845934280346	0.8701077168114926	8.463711303800367E-4	8.463711303800367E-4	-37291.106717988376	0.0	-650.6753968928839
265000	-37975.23768227231	-660.1276292633632	-37315.110053008946	91.90825330198763	-86.90825330198763	1557.5263436709974	540.2105013893491	0.05148228387659226	0.8111300753290374	8.055938503663328E-4	8.05593850366333E-4	-37315.110053008946	0.0	-653.8569055491827
270000	-37956.929707883006	-653.2068500146586	-37303.72285786835	79.99056038975247	-74.99056038975247	1454.5946954145056	550.9442088230244	0.051418436337670625	0.897831879791795	8.851219971332517E-4	8.851219971332515E-4	-37303.72285786835	0.0	-646.5414306665486
275000	-37928.87399752472	-642.1936604818155	-37286.680337042904	72.96433605424758	-67.96433605424758	1304.5401029645366	456.9620695247176	0.060034805237205946	0.8524563350701144	9.871875251580983E-4	9.87187525158098E-4	-37286.680337042904	0.0	-636.4408596603774
280000	-37936.32617614329	-637.6284243981746	-37298.697751745116	67.74880542461607	-62.748805424616066	1242.5229437571775	405.8272162961154	0.060034805237205946	0.8639188122614483	0.0010090655326983947	0.0010090655326983951	-37298.697751745116	0.0	-632.3627725079969
285000	-37946.26296068007	-642.8372117791223	-37303.42574890095	71.53694871153937	-66.53694871153937	1316.5679639186078	449.8420183381271	0.060034805237205946	0.8648343727944231	9.651993033586817E-4	9.651993033586815E-4	-37303.42574890095	0.0	-637.1637822085528
290000	-37947.20511621786	-645.206543393885	-37301.99857282398	75.8880114111275	-70.8880114111275	1337.910769101774	501.52005720175924	0.06739222682119506	0.8385555862080379	9.39935693028914E-4	9.39935693028914E-4	-37301.99857282398	0.0	-639.0960360304699
295000	-37952.70146465103	-647.4152552547281	-37305.2862093963	77.60588824816632	-72.60588824816632	1383.4863091343848	550.8919582918579	0.05613518487010216	0.8298293530516204	9.29777990525794E-4	9.297779905257936E-4	-37305.2862093963	0.0	-640.8331348432766
300000	-37948.54072173348	-654.3754013463113	-37294.16532038717	82.1188271048866	-77.1188271048866	1468.1988454183881	653.5123298842354	0.05765219579799541	0.9081044936423971	8.824840186805992E-4	8.824840186805988E-4	-37294.16532038717	0.0	-646.6555004840312
305000	-37978.54420763368	-672.4544530791607	-37306.089754554516	102.25271173387361	-97.25271173387361	1754.3129693167532	658.0687786387417	0.04328476445499252	0.9026025426452879	7.44819559942517E-4	7.448195599425172E-4	-37306.089754554516	0.0	-664.8771942798778
310000	-37952.06163387098	-652.1193509000724	-37299.94228297091	80.50773102742629	-75.50773102742629	1422.4199876832665	505.9469032421509	0.04328476445499252	0.8446463193177673	8.877307835162482E-4	8.877307835162475E-4	-37299.94228297091	0.0	-646.0305218002021
315000	-37953.19845396017	-664.4488491292026	-37288.74960483097	90.01817783226643	-85.01817783226643	1625.7791467184036	607.1654867805781	0.05151796767132022	0.8864530147318278	7.795384259418448E-4	7.795384259418443E-4	-37288.74960483097	0.0	-657.3831533333027
